datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags,OGI_bayes_u_prop_sites_avail,OGI_bayes_u_cost,OGI_bayes_u_sites_visited,OGI_bayes_u_travel_time,OGI_bayes_u_survey_time,OGI_bayes_u_redund_tags,OGI_bayes_u_missed_leaks,OGI_bayes_u_sites_vis_w_leaks,OGI_bayes_u_eff_flags,OGI_bayes_u_n_tags,OGI_bayes_u_flags_redund1,OGI_bayes_u_flags_redund2,OGI_bayes_u_flag_wo_vent
2023-01-01,18250,54.0,54.0,66.81693989071037,0.0,49.0,77977.8758429852,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-02,18255,49.0,49.0,133.63387978142075,0.0,98.0,78077.6599438983,13400.0,0.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,62.0,0.0,0.0,0.0
2023-01-03,18255,40.0,40.0,204.43989071038249,0.0,151.0,78011.09735483513,14200.0,0.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,61.0,0.0,0.0,0.0
2023-01-04,18242,48.0,48.0,276.24316939890707,0.0,205.0,77862.68560949854,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-05,18236,48.0,48.0,342.06284153005464,0.0,253.0,77932.76974438874,13200.0,0.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,90.0,0.0,0.0,0.0
2023-01-06,18236,56.0,56.0,402.89617486338796,0.0,296.0,77891.9202931609,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,65.0,0.0,0.0,0.0
2023-01-07,18249,45.0,45.0,474.6994535519126,0.0,350.0,77988.1738559022,14400.0,0.0,10800.0,0.0,0.0,54.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-01-08,18240,43.0,43.0,535.5327868852459,0.0,393.0,78095.00142637172,12200.0,0.0,8600.0,0.0,0.0,43.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-09,18240,60.0,60.0,597.3633879781421,0.0,437.0,78136.28819026925,12400.0,0.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-10,18256,45.0,45.0,666.1748633879781,0.0,488.0,78171.9505048363,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,69.0,0.0,0.0,0.0
2023-01-11,18250,40.0,40.0,734.9863387978143,0.0,539.0,77924.38705417799,13800.0,0.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-12,18239,48.0,48.0,807.7868852459017,0.0,594.0,77915.41764753827,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,50.0,0.0,0.0,0.0
2023-01-13,18232,54.0,54.0,880.5874316939891,0.0,649.0,77759.97900459415,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,79.0,0.0,0.0,0.0
2023-01-14,18231,57.0,57.0,953.3879781420765,0.0,704.0,77659.0966771867,14600.0,0.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,57.0,0.0,0.0,0.0
2023-01-15,18233,48.0,48.0,1023.1967213114754,0.0,756.0,77713.21342109761,14000.0,0.0,10400.0,0.0,0.0,52.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,51.0,0.0,0.0,0.0
2023-01-16,18229,53.0,53.0,1083.032786885246,0.0,798.0,77744.45065067429,12000.0,0.0,8400.0,0.0,0.0,42.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,67.0,0.0,0.0,0.0
2023-01-17,18240,45.0,45.0,1152.8415300546449,0.0,850.0,77210.70839955407,14000.0,400.0,10000.0,0.0,0.0,50.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-18,18233,46.0,46.0,1216.6666666666665,0.0,896.0,77163.83669103416,12800.0,200.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-19,18233,43.0,43.0,1279.4945355191257,0.0,941.0,77104.27264665574,12600.0,800.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,64.0,0.0,0.0,0.0
2023-01-20,18231,54.0,54.0,1356.2841530054645,0.0,1000.0,77089.99573166127,15400.0,400.0,11400.0,0.0,0.0,57.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,63.0,0.0,0.0,0.0
2023-01-21,18226,57.0,57.0,1427.0901639344263,0.0,1053.0,77092.26020340949,14200.0,1000.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-01-22,18230,52.0,52.0,1491.912568306011,0.0,1100.0,77208.81087586877,13000.0,600.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-23,18235,43.0,43.0,1549.7540983606557,0.0,1140.0,77263.71932886245,11600.0,400.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,73.0,0.0,0.0,0.0
2023-01-24,18238,50.0,50.0,1619.5628415300546,0.0,1192.0,77121.34996045691,14000.0,800.0,9600.0,0.0,0.0,48.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,70.0,0.0,0.0,0.0
2023-01-25,18236,41.0,41.0,1695.3551912568305,0.0,1250.0,76926.51607023584,15200.0,1400.0,10200.0,0.0,0.0,51.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-26,18219,52.0,52.0,1768.1557377049182,0.0,1305.0,76705.81188876131,14600.0,1200.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,66.0,0.0,0.0,0.0
2023-01-27,18216,62.0,62.0,1831.9808743169401,0.0,1351.0,76672.83031363924,12800.0,1000.0,8200.0,0.0,0.0,41.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,0.0
2023-01-28,18232,43.0,43.0,1910.7650273224044,0.0,1412.0,76590.06318269561,15800.0,400.0,11800.0,0.0,0.0,59.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,58.0,0.0,0.0,0.0
2023-01-29,18214,68.0,68.0,1963.6202185792351,0.0,1447.0,76667.15359314805,10600.0,200.0,6800.0,0.0,0.0,34.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,59.0,0.0,0.0,0.0
2023-01-30,18247,48.0,48.0,2037.418032786885,0.0,1503.0,76505.32521518017,14800.0,600.0,10600.0,0.0,0.0,53.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
2023-01-31,18239,55.0,55.0,2117.199453551913,0.0,1565.0,76308.60671802888,16000.0,400.0,12000.0,0.0,0.0,60.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,74.0,0.0,0.0,0.0
2023-02-01,18232,46.0,46.0,2183.01912568306,0.0,1613.0,76298.76668939876,13200.0,800.0,8800.0,0.0,0.0,44.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,52.0,0.0,0.0,0.0
2023-02-02,18230,54.0,54.0,2251.8306010928964,0.0,1664.0,76584.26211209268,13800.0,400.0,9800.0,0.0,0.0,49.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,78.0,0.0,0.0,0.0
2023-02-03,18233,52.0,52.0,2321.6393442622953,0.0,1716.0,76348.49420529386,14000.0,1400.0,9000.0,0.0,0.0,45.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,76.0,0.0,0.0,0.0
2023-02-04,18233,51.0,51.0,2397.431693989071,0.0,1774.0,76367.51594269213,15200.0,600.0,11000.0,0.0,0.0,55.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,68.0,0.0,0.0,0.0
2023-02-05,18226,53.0,53.0,2454.275956284153,0.0,1813.0,76407.12579654097,11400.0,200.0,7600.0,0.0,0.0,38.0,1.0,3600.0,6.0,240.0,720.0,0.0,0.0,6.0,0.0,72.0,0.0,0.0,0.0
