datetime,active_leaks,new_leaks,n_tags,rolling_cost_estimate,rolling_cost_estimate_b,cum_repaired_leaks,daily_emissions_kg,total_daily_cost,repair_cost,nat_repair_cost,verification_cost,natural_redund_tags,natural_n_tags
2023-01-01,18194,38.0,38.0,38.89344262295082,0.0,39.0,79723.69151353753,7800.0,0.0,7800.0,0.0,0.0,39.0
2023-01-02,18193,51.0,51.0,78.78415300546449,0.0,79.0,79774.99687486562,8000.0,0.0,8000.0,0.0,0.0,40.0
2023-01-03,18204,50.0,50.0,130.64207650273224,0.0,131.0,79767.67147853371,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-04,18202,60.0,60.0,183.49726775956285,0.0,184.0,79718.6505657511,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-05,18209,47.0,47.0,224.38524590163937,0.0,225.0,79981.76894322882,8200.0,0.0,8200.0,0.0,0.0,41.0
2023-01-06,18215,65.0,65.0,268.26502732240436,0.0,269.0,80050.61432044666,8800.0,0.0,8800.0,0.0,0.0,44.0
2023-01-07,18236,50.0,50.0,316.1338797814208,0.0,317.0,80146.82910518289,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-08,18238,59.0,59.0,364.0027322404372,0.0,365.0,80252.07839564848,9600.0,0.0,9600.0,0.0,0.0,48.0
2023-01-09,18249,51.0,51.0,405.88797814207646,0.0,407.0,80245.975674814,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-10,18258,57.0,57.0,443.7841530054645,0.0,445.0,80446.77257661727,7600.0,0.0,7600.0,0.0,0.0,38.0
2023-01-11,18277,51.0,51.0,485.6693989071038,0.0,487.0,80480.2300693674,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-12,18286,41.0,41.0,527.5546448087432,0.0,529.0,80459.44288212505,8400.0,0.0,8400.0,0.0,0.0,42.0
2023-01-13,18285,52.0,52.0,579.4125683060109,0.0,581.0,80359.64920394075,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-14,18285,46.0,46.0,622.2950819672132,0.0,624.0,80348.17180137339,8600.0,0.0,8600.0,0.0,0.0,43.0
2023-01-15,18288,56.0,56.0,681.1338797814209,0.0,683.0,80458.98193322276,11800.0,0.0,11800.0,0.0,0.0,59.0
2023-01-16,18285,54.0,54.0,730.9972677595629,0.0,733.0,80584.309247448,10000.0,0.0,10000.0,0.0,0.0,50.0
2023-01-17,18289,56.0,56.0,779.8633879781421,0.0,782.0,80732.7864769282,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-18,18296,48.0,48.0,832.7185792349727,0.0,835.0,80650.51084001911,10600.0,0.0,10600.0,0.0,0.0,53.0
2023-01-19,18291,62.0,62.0,881.584699453552,0.0,884.0,80671.2949435729,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-20,18304,69.0,69.0,930.4508196721312,0.0,933.0,80638.80757958881,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-21,18324,49.0,49.0,985.3005464480875,0.0,988.0,80489.85779554531,11000.0,0.0,11000.0,0.0,0.0,55.0
2023-01-22,18318,37.0,37.0,1037.1584699453551,0.0,1040.0,80362.13037154221,10400.0,0.0,10400.0,0.0,0.0,52.0
2023-01-23,18303,56.0,56.0,1086.0245901639346,0.0,1089.0,80370.89729301956,9800.0,0.0,9800.0,0.0,0.0,49.0
2023-01-24,18310,42.0,42.0,1156.8306010928961,0.0,1160.0,80272.02568852076,14200.0,0.0,14200.0,0.0,0.0,71.0
2023-01-25,18281,45.0,45.0,1201.707650273224,0.0,1205.0,80218.56257818652,9000.0,0.0,9000.0,0.0,0.0,45.0
